name,value,iso
Afghanistan,13.38,AFG
Albania,43.44,ALB
Algeria,19.85,DZA
Angola,31.86,AGO
Antigua and Barbuda,79.55,ATG
Argentina,101.72,ARG
Armenia,42.17,ARM
Australia,121.15,AUS
Austria,106.37,AUT
Azerbaijan,31.19,AZE
Bahamas,95.63,BHS
Bangladesh,4.1,BGD
Barbados,74.47,BRB
Belarus,78.73,BLR
Belgium,76.77,BEL
Belize,47.66,BLZ
Benin,18.2,BEN
Bermuda,123.08,BMU
Bolivia (Plurinational State of),67.22,BOL
Bosnia and Herzegovina,33.86,BIH
Botswana,29.69,BWA
Brazil,92.97,BRA
Brunei Darussalam,86,BRN
Bulgaria,57.14,BGR
Burkina Faso,16.25,BFA
Cabo Verde,48.88,CPV
Cambodia,14.93,KHM
Cameroon,15.65,CMR
Canada,92.24,CAN
Central African Republic,37.87,CAF
Chad,12.49,TCD
Chile,80.08,CHL
China,57.73,CHN
"China, Hong Kong SAR",153.91,HKG
"China, Macao SAR",106.43,MAC
"China, mainland",56.85,CHN
"China, Taiwan Province of",79.5,TWN
Colombia,46.42,COL
Congo,37.63,COG
Costa Rica,48.97,CRI
Cï¿½te d'Ivoire,14.15,CIV
Croatia,61.98,HRV
Cuba,49.66,CUB
Cyprus,79.68,CYP
Czech Republic,80.39,CZE
Democratic People's Republic of Korea,13.9,PRK
Denmark,75.16,DNK
Djibouti,16.53,DJI
Dominica,56.34,DMA
Dominican Republic,50.46,DOM
Ecuador,54.37,ECU
Egypt,28,EGY
El Salvador,28.13,SLV
Estonia,60.28,EST
Ethiopia,7.99,ETH
Fiji,43.78,FJI
Finland,74.41,FIN
France,88.67,FRA
French Polynesia,107.01,PYF
Gabon,66.5,GAB
Gambia,8.65,GMB
Georgia,26.98,GEO
Germany,87.92,DEU
Ghana,16.88,GHA
Greece,80.58,GRC
Grenada,57.14,GRD
Guatemala,27.82,GTM
Guinea,8.42,GIN
Guinea-Bissau,16.63,GNB
Guyana,41.72,GUY
Haiti,18.25,HTI
Honduras,35.49,HND
Hungary,73.73,HUN
Iceland,86.96,ISL
India,4.13,IND
Indonesia,12.86,IDN
Iran (Islamic Republic of),35.36,IRN
Iraq,18.88,IRQ
Ireland,80.48,IRL
Israel,101.96,ISR
Italy,86.65,ITA
Jamaica,62.22,JAM
Japan,48.79,JPN
Jordan,46.65,JOR
Kazakhstan,69.7,KAZ
Kenya,16.03,KEN
Kiribati,40.4,KIR
Kuwait,87.04,KWT
Kyrgyzstan,36.83,KGZ
Lao People's Democratic Republic,19.94,LAO
Latvia,68.5,LVA
Lebanon,43.77,LBN
Lesotho,22.66,LSO
Liberia,14.95,LBR
Lithuania,72.93,LTU
Luxembourg,98.84,LUX
Madagascar,14.64,MDG
Malawi,8.35,MWI
Malaysia,53.27,MYS
Maldives,21.08,MDV
Mali,25.25,MLI
Malta,84.51,MLT
Mauritania,30.52,MRT
Mauritius,51.82,MUS
Mexico,60.97,MEX
Mongolia,73.35,MNG
Montenegro,77.29,MNE
Morocco,33.69,MAR
Mozambique,8.23,MOZ
Myanmar,39.55,MMR
Namibia,33.36,NAM
Nepal,11.99,NPL
Netherlands,72.72,NLD
New Caledonia,80,NCL
New Zealand,126.87,NZL
Nicaragua,27.43,NIC
Niger,17.87,NER
Nigeria,9.48,NGA
Norway,65.94,NOR
Oman,58.94,OMN
Pakistan,15.52,PAK
Panama,64.27,PAN
Paraguay,50.11,PRY
Peru,21.24,PER
Philippines,34.48,PHL
Poland,75.59,POL
Portugal,90.3,PRT
Republic of Moldova,37.54,MDA
Romania,53.42,ROU
Russian Federation,66.9,RUS
Rwanda,6.19,RWA
Saint Kitts and Nevis,75.47,KANN
Saint Lucia,89.39,LCA
Saint Vincent and the Grenadines,91.74,VCT
Samoa,96.26,WSM
Sao Tome and Principe,21.86,STP
Saudi Arabia,61.99,SAU
Senegal,14.48,SEN
Serbia,49.29,SRB
Sierra Leone,9.21,SLE
Slovakia,58.64,SVK
Slovenia,81.96,SVN
Solomon Islands,16.73,SLB
South Africa,59.33,ZAF
Spain,93.09,ESP
Sri Lanka,6.34,LKA
Suriname,54.72,SUR
Swaziland,23.1,SWZ
Sweden,81.91,SWE
Switzerland,74.67,CHE
Tajikistan,13.95,TJK
Thailand,27.89,THA
The former Yugoslav Republic of Macedonia,35.65,MKD
Timor-Leste,35.58,TLS
Togo,12.21,TGO
Trinidad and Tobago,69.02,TTO
Tunisia,25.67,TUN
Turkey,33.43,TUR
Turkmenistan,57.76,TKM
Uganda,12.55,UGA
Ukraine,49.01,UKR
United Arab Emirates,55.57,ARE
United Kingdom,82.46,GBR
United Republic of Tanzania,9.75,TZA
United States of America,117.61,USA
Uruguay,69.46,URY
Uzbekistan,33.89,UZB
Vanuatu,37.19,VUT
Venezuela (Bolivarian Republic of),81.22,VEN
Viet Nam,57.6,VNM
Yemen,18.61,YEM
Zambia,13.41,ZMB
Zimbabwe,20.76,ZWE
